Цифр. код,Букв. код,Единиц,Валюта,Курс
036,AUD,1,Австралийский доллар,53.0061
944,AZN,1,Азербайджанский манат,47.8148
012,DZD,100,Алжирских динаров,62.3925
051,AMD,100,Армянских драмов,21.2738
764,THB,10,Батов,25.0239
048,BHD,1,Бахрейнский динар,216.1373
933,BYN,1,Белорусский рубль,27.2742
975,BGN,1,Болгарский лев,48.1063
068,BOB,1,Боливиано,11.7634
986,BRL,1,Бразильский реал,15.4165
410,KRW,1000,Вон,55.553
344,HKD,1,Гонконгский доллар,10.4776
980,UAH,10,Гривен,19.3472
208,DKK,1,Датская крона,12.599
784,AED,1,Дирхам ОАЭ,22.1335
840,USD,1,Доллар США,81.2852
704,VND,10000,Донгов,32.3472
978,EUR,1,Евро,94.1893
818,EGP,10,Египетских фунтов,17.2117
985,PLN,1,Злотый,22.2273
392,JPY,100,Иен,52.6971
356,INR,100,Индийских рупий,91.7065
364,IRR,100000,Иранских риалов,13.787
124,CAD,1,Канадский доллар,57.978
634,QAR,1,Катарский риал,22.3311
192,CUP,10,Кубинских песо,33.8688
104,MMK,1000,Кьятов,38.7072
981,GEL,1,Лари,30.0344
498,MDL,10,Молдавских леев,47.8742
566,NGN,1000,Найр,56.4986
554,NZD,1,Новозеландский доллар,45.9424
934,TMT,1,Новый туркменский манат,23.2243
578,NOK,10,Норвежских крон,80.6889
512,OMR,1,Оманский риал,211.4049
946,RON,1,Румынский лей,18.4958
360,IDR,10000,Рупий,48.6796
710,ZAR,10,Рэндов,47.4561
682,SAR,1,Саудовский риял,21.6761
960,XDR,1,СДР (специальные права заимствования),110.4357
941,RSD,100,Сербских динаров,80.3216
702,SGD,1,Сингапурский доллар,62.3879
417,KGS,100,Сомов,92.9505
972,TJS,10,Сомони,87.5928
050,BDT,100,Так,66.4513
398,KZT,100,Тенге,15.4746
496,MNT,1000,Тугриков,22.7362
949,TRY,10,Турецких лир,19.2662
860,UZS,10000,Узбекских сумов,67.7942
348,HUF,100,Форинтов,24.3975
826,GBP,1,Фунт стерлингов,107.077
203,CZK,10,Чешских крон,38.7497
752,SEK,10,Шведских крон,85.7447
756,CHF,1,Швейцарский франк,101.6828
230,ETB,100,Эфиопских быров,53.0927
156,CNY,1,Юань,11.3731
643,RUB,1,Российский рубль,1.0
